Timestamp,gun,healthcare,women_issues,genders,taxes,justice,equal,capitalism,two_party,teacher,minimmum wage,immigration,electoral_college,death,church,education_military,justice_reform,drugs,coronavirus,party
2020/10/07 9:09:15 AM EST,2,3,5,2,4,4,3,4,2,4,3,2,3,2,4,2,2,4,4,Republican
2020/10/07 9:09:25 AM EST,4,5,4,5,4,3,1,1,2,5,5,5,1,1,2,1,3,4,1,Democrat
2020/10/07 9:09:43 AM EST,5,5,2,5,5,4,1,3,4,5,5,5,2,3,1,1,4,4,1,Democrat
2020/10/07 9:10:44 AM EST,4,5,3,3,5,4,4,3,2,5,3,4,3,5,4,4,3,5,1,Republican
2020/10/07 9:11:42 AM EST,5,5,5,5,5,5,1,4,2,5,5,3,1,2,1,1,5,5,2,Democrat
2020/10/07 9:12:25 AM EST,5,5,5,5,5,5,1,3,1,5,4,5,4,1,1,1,5,5,1,Democrat
2020/10/07 9:12:44 AM EST,5,5,5,5,2,5,1,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:14:20 AM EST,5,5,4,5,5,5,1,5,3,5,5,5,5,4,2,1,5,2,3,Democrat
2020/10/07 9:16:31 AM EST,5,5,5,5,5,5,1,2,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:16:49 AM EST,4,5,3,1,5,4,2,2,3,5,4,3,3,4,4,1,5,5,2,Democrat
2020/10/07 9:17:02 AM EST,1,3,4,1,3,4,4,5,1,5,3,1,4,5,4,2,3,1,1,Republican
2020/10/07 9:17:37 AM EST,5,5,5,5,5,4,5,3,3,4,3,5,3,3,3,1,3,3,2,Democrat
2020/10/07 9:17:38 AM EST,5,5,5,5,5,5,5,2,4,5,5,4,3,4,2,2,5,5,2,Democrat
2020/10/07 9:17:57 AM EST,5,5,3,5,5,5,5,3,1,5,5,5,1,4,1,2,5,5,1,Democrat
2020/10/07 9:18:54 AM EST,4,3,1,2,5,2,4,4,1,5,5,1,3,5,2,2,2,4,2,Republican
2020/10/07 9:19:18 AM EST,5,5,5,5,5,5,1,2,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/07 9:19:32 AM EST,5,5,5,5,5,5,1,3,2,5,4,5,4,1,2,1,5,5,2,Democrat
2020/10/07 9:19:54 AM EST,5,4,3,5,5,4,1,4,1,5,5,5,1,1,3,1,5,5,1,Democrat
2020/10/07 9:19:56 AM EST,2,5,3,4,5,3,2,4,2,4,3,3,3,5,3,2,4,3,1,Republican
2020/10/07 9:20:09 AM EST,1,4,1,1,4,2,4,5,5,1,3,1,5,4,5,2,4,2,5,Republican
2020/10/07 9:21:25 AM EST,5,5,5,3,5,3,1,3,2,4,4,5,3,3,3,1,5,5,2,Democrat
2020/10/07 9:21:26 AM EST,5,5,4,5,5,5,5,4,4,5,5,5,2,2,2,2,4,2,1,Democrat
2020/10/07 9:21:53 AM EST,1,4,1,2,5,2,2,5,1,4,3,1,2,3,3,1,2,5,2,Republican
2020/10/07 9:23:33 AM EST,4,4,2,5,5,5,2,4,3,5,4,5,3,2,3,2,5,5,1,Democrat
2020/10/07 9:23:41 AM EST,5,5,5,4,5,5,1,3,3,5,5,4,2,2,2,1,4,4,2,Democrat
2020/10/07 9:24:09 AM EST,4,4,4,5,5,4,2,2,1,5,5,4,3,2,3,1,5,3,2,Democrat
2020/10/07 9:24:21 AM EST,5,5,5,4,4,3,4,3,3,4,3,5,3,3,2,2,3,3,2,Democrat
2020/10/07 9:26:59 AM EST,1,2,2,1,4,2,4,5,1,4,3,2,5,3,3,3,5,5,4,Republican
2020/10/07 9:27:28 AM EST,5,5,5,5,5,5,1,1,1,5,5,5,2,3,4,1,5,5,2,Democrat
2020/10/07 9:27:38 AM EST,5,5,5,5,5,3,2,4,1,5,4,4,1,3,1,1,4,5,1,Democrat
2020/10/07 9:28:15 AM EST,4,5,4,3,5,5,1,5,3,5,5,4,3,3,2,1,4,1,3,Democrat
2020/10/07 9:28:53 AM EST,5,5,5,5,3,5,2,3,1,5,5,5,3,3,3,1,5,4,1,Democrat
2020/10/07 9:29:06 AM EST,5,5,5,3,4,5,1,3,3,5,5,5,3,1,1,1,5,3,1,Democrat
2020/10/07 9:30:49 AM EST,2,5,5,1,5,5,1,2,3,5,5,5,3,3,3,5,5,5,1,Democrat
2020/10/07 9:32:52 AM EST,4,5,4,2,4,5,1,2,1,4,5,5,2,2,2,1,5,5,1,Democrat
2020/10/07 9:33:08 AM EST,5,5,5,4,5,3,2,1,3,5,4,5,1,1,1,3,5,5,1,Democrat
2020/10/07 9:33:34 AM EST,5,5,5,5,5,5,1,3,3,5,5,5,2,2,1,1,5,5,1,Democrat
2020/10/07 9:33:44 AM EST,5,5,5,3,5,5,1,3,2,5,5,5,2,1,1,1,5,5,1,Democrat
2020/10/07 9:34:08 AM EST,5,5,5,5,5,5,1,1,3,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:34:46 AM EST,5,5,5,5,3,3,1,3,2,4,4,4,2,2,2,1,4,3,1,Democrat
2020/10/07 9:35:13 AM EST,4,5,3,4,5,5,1,3,1,5,3,4,2,3,1,1,5,5,2,Democrat
2020/10/07 9:35:18 AM EST,5,5,5,5,5,5,4,3,2,5,5,3,3,1,1,1,5,5,1,Democrat
2020/10/07 9:40:55 AM EST,5,5,5,5,5,5,1,3,2,5,5,5,3,1,1,3,5,5,1,Democrat
2020/10/07 9:41:50 AM EST,5,5,5,5,5,4,2,4,1,5,4,5,1,1,1,2,5,1,2,Democrat
2020/10/07 9:48:05 AM EST,5,5,4,5,4,4,1,2,2,5,5,4,3,3,1,1,5,4,1,Democrat
2020/10/07 9:48:45 AM EST,3,3,3,1,5,2,4,4,3,3,3,1,5,4,4,2,2,1,3,Republican
2020/10/07 9:49:12 AM EST,5,5,5,5,5,5,3,1,1,5,5,5,1,1,1,1,5,4,1,Democrat
2020/10/07 9:49:23 AM EST,5,5,5,5,5,5,1,3,3,5,5,5,3,1,3,1,5,5,2,Democrat
2020/10/07 9:49:35 AM EST,5,5,5,5,5,4,1,1,3,5,5,5,2,2,2,1,5,5,2,Democrat
2020/10/07 9:50:18 AM EST,4,4,4,5,4,4,2,3,1,5,4,2,2,3,2,1,4,2,1,Democrat
2020/10/07 9:52:18 AM EST,5,5,4,4,4,5,2,3,3,5,5,5,3,1,2,1,5,5,1,Democrat
2020/10/07 9:53:39 AM EST,5,5,5,5,5,4,1,3,5,5,4,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:53:56 AM EST,4,5,5,5,5,5,5,1,2,5,3,4,4,2,3,1,5,5,1,Democrat
2020/10/07 9:54:07 AM EST,5,5,5,5,3,5,1,1,3,5,4,5,2,2,3,1,5,1,1,Democrat
2020/10/07 9:58:01 AM EST,5,5,5,1,5,5,1,1,2,5,3,5,3,5,2,1,5,5,1,Democrat
2020/10/07 9:59:39 AM EST,4,5,4,4,5,5,1,3,3,5,5,4,3,4,2,2,5,5,1,Democrat
2020/10/07 10:08:45 AM EST,5,5,2,5,5,5,1,3,3,5,5,4,1,3,1,2,5,5,1,Democrat
2020/10/07 10:12:09 AM EST,4,5,5,5,5,4,2,3,2,5,5,5,3,1,3,2,5,5,2,Democrat
2020/10/07 10:15:48 AM EST,4,3,3,3,4,3,4,3,4,5,4,4,4,3,4,3,3,3,3,Republican
2020/10/07 10:15:58 AM EST,1,2,1,2,5,1,5,5,3,4,3,3,3,2,5,3,1,1,5,Republican
2020/10/07 10:16:32 AM EST,4,5,5,5,4,5,1,2,4,5,5,5,1,2,3,1,5,5,1,Democrat
2020/10/07 10:17:27 AM EST,3,5,2,1,5,2,2,5,1,4,4,4,2,2,4,3,3,4,1,Republican
2020/10/07 10:18:00 AM EST,4,5,5,4,4,4,5,2,3,5,5,4,3,2,3,1,4,5,2,Democrat
2020/10/07 10:20:46 AM EST,2,3,4,4,5,4,2,5,4,3,3,4,4,1,4,4,4,4,3,Republican
2020/10/07 10:22:57 AM EST,5,5,5,5,5,3,5,3,5,5,5,5,5,3,3,1,5,5,3,Republican
2020/10/07 10:23:15 AM EST,1,1,1,1,5,3,5,5,4,3,3,5,5,4,5,2,2,4,3,Republican
2020/10/07 10:23:33 AM EST,3,5,4,5,4,5,1,2,2,4,4,4,3,1,2,1,5,5,2,Democrat
2020/10/07 10:26:48 AM EST,1,3,4,3,4,4,1,5,1,3,4,3,2,1,1,2,4,5,2,Republican
2020/10/07 10:28:01 AM EST,5,5,3,4,3,5,1,2,2,4,4,5,3,3,2,1,5,4,1,Democrat
2020/10/07 10:29:01 AM EST,3,5,5,5,4,5,1,1,1,5,5,4,1,3,1,1,5,5,1,Democrat
2020/10/07 10:29:30 AM EST,5,5,5,5,5,5,1,3,1,5,5,5,1,1,3,1,4,5,1,Democrat
2020/10/07 10:38:48 AM EST,5,5,5,5,5,5,2,3,2,4,4,4,3,5,3,1,4,5,1,Democrat
2020/10/07 10:42:43 AM EST,5,5,3,3,2,5,3,3,1,4,5,4,4,1,3,1,5,3,1,Republican
2020/10/07 10:43:05 AM EST,5,5,5,5,4,5,1,2,3,5,5,5,3,2,1,3,5,4,1,Democrat
2020/10/07 10:49:14 AM EST,5,5,5,5,5,5,2,2,2,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 10:51:43 AM EST,5,5,5,2,5,5,1,2,3,5,5,5,2,2,2,1,4,5,1,Democrat
2020/10/07 10:52:24 AM EST,5,5,2,3,5,4,1,4,1,4,3,4,1,3,5,1,5,1,1,Democrat
2020/10/07 10:55:25 AM EST,4,5,5,4,5,5,1,3,3,5,5,5,5,3,3,3,5,3,1,Democrat
2020/10/07 10:55:26 AM EST,1,2,1,1,5,1,1,5,5,1,1,1,5,3,3,3,3,3,1,Republican
